Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,6,"DK Krčevina, Šubičeva ul. 11",,
VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,7,"OŠ B. Polančič, Prešernova 19",,
VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,8,"OŠ F.R. Stane, Kersnikova 10",,
VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,10,"OŠ F.R. Stane, Kersnikova 10",,
VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,11,"OŠ B. Polančič, Prešernova 19",,
VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,12,"DK , V zavoju 40 b",,
VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,15,"Slovenska filantropija, Kacova 1",,
VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,17,"Sr.gradbena šola,Smetanova 35",46.5596464,15.6367662
VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,18,"Sr.gradbena šola,Smetanova 35",46.5596464,15.6367662
VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,19,"Sr.gradbena šola,Smetanova 35",46.5596464,15.6367662
VE 7000 - MARIBOR,VO 7008 - MARIBOR 4,20,"Sr.gradbena šola,Smetanova 35",46.5596464,15.6367662
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,1,"OŠ Janko Padežnik, Iztokova ul.6",,
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,2,"OŠ Janko Padežnik, Iztokova ul.6",,
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,3,"Dom pod Gorco, Pekrska 56",46.5550458,15.6113824
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,4,"Prometna šola, Preradovičeva ul.33",46.5534237,15.6250292
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,5,"Prometna šola, Preradovičeva ul.33",46.5534237,15.6250292
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,6,"Prometna šola, Preradovičeva ul.33",46.5534237,15.6250292
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,7,"Prometna šola, Preradovičeva ul.33",46.5534237,15.6250292
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,8,"MČ Magdalena, Preradovičeva ul. 1",,
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,9,"Društvo AMD Maribor-Tabor, Ul. heroja Zidanška 8",,
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,10,"Dom Lizike Jančar, Titova c. 24a",46.5500424,15.6489663
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,11,"Dom Lizike Jančar, Titova c. 24a",46.5500424,15.6489663
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,12,"Dom Lizike Jančar, Titova c. 24a",46.5500424,15.6489663
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,13,"OŠ borcev za severno mejo, Borcev za sev.mejo 16",,
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,14,"OŠ Draga Kobala, Tolstojeva ul.3",46.548168,15.6707641
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,15,"OŠ Draga Kobala, Tolstojeva ul. 3",46.548168,15.6707641
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,16,"OŠ Draga Kobala, Tolstojeva ul. 3",46.548168,15.6707641
VE 7000 - MARIBOR,VO 7009 - MARIBOR 5,17,"OŠ Draga Kobala, Tolstojeva ul.3",46.548168,15.6707641
VE 7000 - MARIBOR,VO 7010 - MARIBOR 6,1,"OŠ L. Pliberška, Lackova c. 4",,
VE 7000 - MARIBOR,VO 7010 - MARIBOR 6,2,"Hišni svet, Borova vas 24",,
VE 7000 - MARIBOR,VO 7010 - MARIBOR 6,3,"MČ Radvanje, Lackova c. 43b",,
VE 7000 - MARIBOR,VO 7010 - MARIBOR 6,4,"Vrtec Radvanje, Grizoldova ul. 1",46.536435,15.6025237
VE 7000 - MARIBOR,VO 7010 - MARIBOR 6,5,"DRAŠ Center, Pohorska ul. 57",46.534675,15.6042496
