Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 1000 - KRANJ,VO 1001 - JESENICE,1,"Vrtec Rateče, Rateče 18, Rateče",46.46815,13.71439
VE 1000 - KRANJ,VO 1001 - JESENICE,2,"Krajevna skupnost Podkoren, Podkoren 15, Podkoren",46.49412,13.75608
VE 1000 - KRANJ,VO 1001 - JESENICE,3,"Občina Kranjska Gora, Kolodvorska ul. 1b,Kr. Gora",51.66638,16.53494
VE 1000 - KRANJ,VO 1001 - JESENICE,4,"OŠ Kranjska Gora, Koroška ulica 12, Kranjska Gora",46.45689,13.77824
VE 1000 - KRANJ,VO 1001 - JESENICE,5,"GD Gozd Martuljek, Zg. Rute 85, Gozd Martuljek",46.47517,13.86368
VE 1000 - KRANJ,VO 1001 - JESENICE,6,"Kulturni dom Dovje, Dovje 109, Dovje",46.46863,13.97202
VE 1000 - KRANJ,VO 1001 - JESENICE,7,"OŠ 16. december Mojstrana, Ulica Alojza Rabiča 7",,
VE 1000 - KRANJ,VO 1001 - JESENICE,8,"Stara gostilna Psnak, Zg. Radovna 17, Zg. Radovna",46.42123,13.98178
VE 1000 - KRANJ,VO 1001 - JESENICE,9,"PGD Hrušica, Hrušica 13, Hrušica",46.445,14.01778
VE 1000 - KRANJ,VO 1001 - JESENICE,10,"Kulturni dom Hrušica, Hrušica 55A, Hrušica ",46.445,14.01778
VE 1000 - KRANJ,VO 1001 - JESENICE,11,"KS Pl. pod Golico,Pl. pod Golico 31,Pl.pod Golico",,
VE 1000 - KRANJ,VO 1001 - JESENICE,12,"Hiša Klinar Štefan, Plavški Rovt 14, Plavški Rovt",46.46533,14.02724
VE 1000 - KRANJ,VO 1001 - JESENICE,13,"DU dr.F.Bergelja,stavba C,Ul. S.Bokala 4,Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,14,"Zdravstveni dom Jesenice, C. m. Tita 78, Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,15,"OŠ Toneta Čufarja, Cesta C. Tavčarja 21, Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,16,"JEKO d.o.o., Cesta maršala Tita 51, Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,17,"Vrtec Angelce Ocepek, C. C. Tavčarja 3A, Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,18,"Krajevna skupnost Sava, Pod gozdom 2, Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,19,"OŠ Prežihovega Voranca-1,C. T. Tomšiča 5,Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,20,"OŠ Prežihovega Voranca-2,C. T. Tomšiča 5,Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,21,"OŠ P. Stražišarja-1, Ul. V. Kejžarja 35, Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,22,"OŠ P. Stražišarja-2, Ul. V. Kejžarja 35, Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,23,"Zavod za šport,sejna soba,Ledarska ul.6A,Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,24,"KS Podmežakla, Mencingerjeva ulica 1, Jesenice",49.96814,14.5135
VE 1000 - KRANJ,VO 1001 - JESENICE,25,"GD Javorniški Rovt, Javorniški Rovt 17, Jav. Rovt",46.0773,14.2182
VE 1000 - KRANJ,VO 1001 - JESENICE,26,"OŠ Koroška Bela-1, Cesta talcev 2, Koroška Bela",46.44913,14.11135
VE 1000 - KRANJ,VO 1001 - JESENICE,27,"OŠ Koroška Bela-2, Cesta talcev 2, Koroška Bela",46.44913,14.11135
VE 1000 - KRANJ,VO 1001 - JESENICE,28,"DD J. in A.Pibernik-1,C.B.Kidriča 37C,Sl.Javornik",,
VE 1000 - KRANJ,VO 1001 - JESENICE,29,"DD J. in A.Pibernik-2,C.B.Kidriča 37C,Sl.Javornik",,
VE 1000 - KRANJ,VO 1001 - JESENICE,30,"OŠ Blejska Dobrava, Blejska Dobrava 44,Bl.Dobrava",,
VE 1000 - KRANJ,VO 1001 - JESENICE,31,"Orodišče Kočna, Kočna bš, Kočna",46.41323,14.08272
VE 1000 - KRANJ,VO 1001 - JESENICE,32,"TVD Partizan Žirovnica, Žirovnica 63, Žirovnica",46.40472,14.14
VE 1000 - KRANJ,VO 1001 - JESENICE,33,"Elektrarna Moste, Moste 41, Moste",46.195,14.55139
VE 1000 - KRANJ,VO 1001 - JESENICE,34,"Čopova rojstna hiša, Žirovnica 14, Žirovnica",46.4046417,14.1375374
VE 1000 - KRANJ,VO 1001 - JESENICE,35,"OŠ Žirovnica, Zabreznica 4, Zabreznica",46.4,14.15
VE 1000 - KRANJ,VO 1001 - JESENICE,36,"Občina Žirovnica, Breznica 3, Breznica",46.07111,16.27111
VE 1000 - KRANJ,VO 1001 - JESENICE,37,"Jalnova rojstna hiša, Rodine 10, Rodine",46.38333,14.18333
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,1,"Gasilski dom Mlino, Mlinska cesta 26, Bled",46.357387,14.1011258
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,2,"Gasilski dom Rečica, Rečiška cesta 4, Bled",46.36917,14.11361
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,3,"Občina Bled, Cesta svobode 13, Bled",46.3687303,14.10957
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,4,"Osnovna šola Bled, Seliška cesta 3, Bled",46.36917,14.11361
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,5,"INFOCENTER TRIGLAVSKA ROŽA BLED, Ljubljanska c.27",46.3688542,14.1187646
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,6,"Kulturni dom Bohinjska Bela, Bohinjska Bela  37",46.34889,14.06389
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,7,"Pri Kunavc, Krnica 21, Zgornje Gorje",46.37962,14.06937
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,8,"Osnovna šola Gorje, Zg. Gorje 44 a, Zg. Gorje",46.37924,14.06795
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,9,"Osnovna šola Gorje, Zg. Gorje 44a, Zg. Gorje",46.37924,14.06795
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,10,"Dom upokojencev Spodnje Gorje, Sp. Gorje 208",26.25,86.8
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,11,"Gasilski dom Podhom, Podhom 15, Zgornje Gorje",46.37962,14.06937
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,12,"Zadružni dom Ribno, Izletniška ulica 11, Bled",46.36917,14.11361
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,13,"Natura hotel LUKANC, Selo pri Bledu 8, Bled",46.36917,14.11361
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,14,"Kulturni dom Zasip, Sebenje 6, Bled",46.36917,14.11361
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,15,"Bohinjska hiša, Mencingerjeva ulica 4, Boh.Bistr.",,
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,16,"Dom Joža Ažmana, Triglavska c. 16, Boh. Bistrica",40.98333,21.36667
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,17,"Gasilski dom Bitnje, Bitnje 13, Boh. Bistrica",40.98333,21.36667
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,18,"Gasilski dom Nomenj, Nomenj 23, Boh. Bistrica",40.98333,21.36667
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,19,"Turistično društvo Bohinj,Ribčev Laz 48, B.jezero",,
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,20,"Gasilski dom Kamnje, Kamnje 26 a, Boh.Bistrica",,
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,21,"Gasilski dom Nemški rovt,Nemški rovt18,B.Bistrica",,
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,22,"Šola na Koprivniku, Koprivnik 4, Boh. Bistrica",40.98333,21.36667
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,23,"Gasilski dom Gorjuše, Gorjuše 36 a, Boh.Bistrica",,
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,24,"Avla podružnične šole, Srednja vas 69,Sr.vas v B. ",41.66667,2.0
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,25,"Gasilski dom Bohinj. Češnjica, Bohin. Češnjica 79",46.02795,14.61857
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,26,"Pri Zdenki Platiša,Podjelje 15 a,Sr.vas v Bohinju",,
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,27,"Center TNP Bohinj, Stara Fužina 37, B.jez.",,
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,28,"Pri Milanu Talerju,Studor v Bohinju 5a,Sr.vas v B",41.66667,2.0
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,33,"MGC Vezenine Bled, Ulica Jule Vovk Molnar 2, Bled",46.3707863,14.1171682
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,1,"Klub upokojencev Begunje,Begunje na Gorenjskem 23",46.38333,14.21667
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,2,"Podružnična šola Begunje, Begunje na Gorenj. 27 b",41.66667,2.0
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,3,"GASILSKO ORODIŠČE, pri hiši Konc, Dvorska vas 20a",38.5,-0.5
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,4,"Gasilski dom Slatna, Slatna 15",46.36744,14.22266
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,5,"Dom krajanov Brezje, Brezje 80 c",0.5,32.0
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,6,"Dom krajanov Kamna Gorica, Kamna Gorica 58",46.0800912,14.4734842
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,7,"Avla Sindikalnega doma Kropa, Kropa 3",26.91667,87.91667
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,8,"KULTURNI DOM LANCOVO, Lancovo 30",46.33333,14.16667
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,9,"Gasilski dom Hlebce, Hlebce 9",27.58333,87.33333
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,10,"Turistična kmetija PR GROM, Hraše 17 c",0.5,32.0
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,11,"OŠ F.S. Finžgarja Lesce, Begunjska cesta 7, Lesce",46.36111,14.15778
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,12,"Družbeni center Lesce, Alpska cesta 58, Lesce",46.36111,14.15778
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,13,"OŠ F.S. Finžgarja Lesce, Begunjska cesta 7, Lesce",46.36111,14.15778
