Volilna enota,Volilni okraj,ID Volišča,Volišče
VE 8000 - PTUJ,VO 8010 - PTUJ 2,18,"DK MČ Jezero, Belšakova ul. 20a"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,19,"Večnamenska dvorana Spuhlja, Spuhlja 12a"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,20,"OŠ Breg, Rogaška c. 6"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,21,"OŠ Breg, Rogaška c. 6"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,22,"DRU Ivan Rudolf Breg-Ptuj, Zadružni trg 12a"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,23,"DK Turnišče, Selska c. 2"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,24,"DK Turnišče, Selska c. 2"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,25,"DV Draženci, Draženci 74b"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,26,"GD Gerečja vas, Gerečja vas 14a"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,27,"GD Hajdoše, Hajdoše 41b"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,28,"DK Skorba, Skorba 36a"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,29,"ŠO NK Slovenja vas, Slovenja vas 54"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,30,"DU Hajdina, Zgornja Hajdina 45"
VE 8000 - PTUJ,VO 8010 - PTUJ 2,31,"INFO Hajdina, Sp. Hajdina 29"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,1,"LD Brezovec, Brezovec 92"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,2,"Občina Cirkulane, Cirkulane 58"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,3,"Fric Stanko, Dolane 37"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,4,"Jurgec Milan, Gradišča 29a"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,5,"Kelc Milan, Gruškovec 80"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,6,"Kolednik Martina, Medribnik 14a"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,7,"Kolednik Mihael, Paradiž 47"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,8,"Kulturna dvorana Cirkulane, Cirkulane 40a"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,9,"Radioklub Cirkulane, Pohorje 25a"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,10,"Lesjak Rajko, Mali Okič 20a"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,11,"Emeršič Olga, Slatina 31"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,12,"Majhen Nevenka, Pristava 4a"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,13,"Arbeiter Mitja, Meje 16a"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,14,"OŠ Kidričevo, Kajuhova ul. 10"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,15,"Občina Kidričevo (por. dvor.), Kopališka ul. 14"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,17,"Športni park Njiverce (brunarica), Njiverce bš"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,18,"Prosvetni dom Apače, Apače 87b"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,19,"DK Kungota pri Ptuju, Kungota pri Ptuju 75"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,20,"ŠD Strnišče, Strnišče bš"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,21,"Dvorana Lovrenc na Dr. p., Lovrenc na Dr. p. 8"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,23,"GD Pleterje, Pleterje 33a"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,24,"VD Župečja vas (brunarica), Župečja vas bš"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,25,"Prostori občine Kidričevo, Cirkovce 2c"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,26,"GD Dragonja vas, Dragonja vas 17"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,27,"DK Mihovce, Mihovce bš"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,28,"Vaški dom Pongrce, Pongrce 22"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,29,"GD Jablane, Spodnje Jablane 20a"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,30,"GD Starošince, Starošince 13a"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,31,"GD Šikole, Šikole 25"
VE 8000 - PTUJ,VO 8011 - PTUJ 3,32,"VD Stražgonjca, Stražgonjca bš"
